MP ID,Formula,Band Gap (eV),energy_above_hull (eV/atom),Left End (V),Right End (V),Window Length (V),label
mp-756936,Sr3Li4La5O12,0.0,0.036251302,0.020428892,2.866424565,2.845995673,0
mp-1104857,Sr3Li4(SiN3)2,2.107,0.0,0.014773849,0.647071995,0.632298146,0
mp-567371,Sr3Li4(GeN3)2,2.0534,0.0,0.261743933,0.744510803,0.482766871,0
mp-753769,Sr3Li3La5O12,3.1187,0.039704809,0.020428892,2.866424565,2.845995673,0
mp-780775,Sr3Li3Cu3(PO4)4,1.3985,0.105376826,2.96484112,3.212830008,0.247988889,0
mp-568322,Sr3Li3(NiN)4,0.0,0.0,0.005122867,0.573983304,0.568860438,0
mp-756781,Sr3Li2Nb4O13,0.0,0.016636631,1.20529805,1.270510916,0.065212867,0
mp-540803,Sr3(LiSb)4,0.0,0.0,0.772158248,0.914953859,0.142795611,0
mp-1235036,Sr2LiZrCrO6,3.1472,0.225642843,0.941883231,2.423164879,1.481281648,0
mp-1096595,Sr2LiZn,0.0,1.269752619,0.005122867,0.024849411,0.019726544,0
mp-1235062,Sr2LiV2(Si2O7)2,0.6894,0.084649475,2.652371288,2.665187481,0.012816193,0
mp-862746,Sr2LiTl,0.0,0.0,0.005122867,0.087238017,0.08211515,0
mp-1235147,Sr2LiTi6N2O11,0.0,0.083897073,1.95082383,2.207412327,0.256588497,0
mp-1208808,Sr2LiTeO6,0.0,0.02066269,3.308737292,3.568632473,0.259895181,0
mp-979340,Sr2LiTaN3F,2.934,0.0,0.101923451,1.119992022,1.018068571,0
mp-1235451,Sr2LiTa2(NO2)2,0.0,0.235784609,0.73703859,1.006646324,0.269607734,0
mp-1209083,Sr2LiSiO4,0.0,0.15980279,0.353774941,0.366792743,0.013017802,0
mp-1218778,Sr2LiSiN3,0.0,0.106884435,0.127898667,0.647071995,0.519173328,0
mp-15551,Sr2LiSi3,0.0,0.0,0.131230108,0.623591832,0.492361725,0
mp-8796,Sr2LiSc(B2O5)2,4.6651,0.001963663,1.125911465,3.564182413,2.438270947,0
mp-1080625,Sr2LiReO6,1.8424,0.0,1.407658798,3.575256941,2.167598143,0
mp-10556,Sr2LiReN4,1.8099,0.0,0.011979534,2.523117508,2.511137973,0
mp-862745,Sr2LiPt,0.0,0.119237742,0.005122867,0.04926097,0.044138103,0
mp-1232976,Sr2LiPr2Fe2(RuO6)2,0.0,0.149316312,2.283984505,2.294738481,0.010753977,0
mp-1205568,Sr2LiOsO6,0.0,0.0,1.827344007,3.914624956,2.08728095,0
mp-1235229,Sr2LiO12,0.0,0.130738204,3.227851723,3.84874466,0.620892937,0
mp-756854,Sr2LiNb3O10,1.7653,0.042790214,1.675705786,3.570856985,1.895151199,0
mp-1218749,Sr2LiMgSi3,0.0,0.0,0.236900393,0.379719067,0.142818675,0
mp-1218768,Sr2LiLaTi4O12,1.8371,0.058240625,1.743048532,3.638752,1.895703467,0
mp-1235205,Sr2LiLaTaO6,0.0,0.193051667,0.400617691,0.66169487,0.261077179,0
mp-1173277,Sr2LiLa2RuO8,0.724,0.117292438,1.915677905,3.502141605,1.5864637,0
mp-1096097,Sr2LiIr,0.0004,1.641022244,0.005122867,0.120842959,0.115720092,0
mp-571617,Sr2LiInGe2,0.0,0.0,0.182310077,0.403615417,0.221305341,0
mp-14854,Sr2LiIn(B2O5)2,3.7658,0.010532221,1.88378458,3.527954701,1.644170122,0
mp-867208,Sr2LiIn,0.0,0.01557394,0.023955337,0.087352919,0.063397582,0
mp-1093971,Sr2LiHg,0.0,1.23702272,0.005122867,0.093017681,0.087894814,0
mp-1103453,Sr2LiGe3,0.0,0.005971466,0.249641735,0.646445287,0.396803553,0
mp-1235637,Sr2LiFeO3F,2.0699,0.139827801,1.44476204,1.604535217,0.159773177,0
mp-8923,Sr2LiFe2N3,0.0,0.0,0.102537751,1.021411794,0.918874043,0
mp-1235294,Sr2LiCuBrO2,0.0,0.420032079,0.208648665,1.690012776,1.481364111,0
mp-1235042,Sr2LiCoWO6,0.582,0.214187305,1.87533844,1.986844681,0.111506241,0
mp-569001,Sr2LiCoN2,0.2539,0.0,0.005122867,0.668886219,0.663763352,0
mp-1235784,Sr2LiCdWO6,1.7062,0.162540259,1.732808175,1.91825691,0.185448735,0
mp-569782,Sr2LiCBr3N2,4.0588,0.0,0.005122867,2.147195066,2.1420722,0
mp-1020647,Sr2LiBeB3O8,4.9369,0.0,1.004001534,3.703036365,2.699034831,0
mp-1097457,Sr2LiAl,0.0295,1.518463372,0.005122867,0.042042568,0.036919701,0
mp-1218762,Sr2Li7CuN4,0.568,0.0,0.24461422,0.406114863,0.161500643,0
mp-1173260,Sr2Li4MnS3O2,2.0078,0.256169217,1.12600433,1.524210753,0.398206423,0
mp-541569,Sr2Li3TaN4,2.1968,0.0,0.1341927,0.730547887,0.596355187,0
mp-541568,Sr2Li3NbN4,2.1559,0.0,0.128334185,0.717165702,0.588831516,0
mp-753817,Sr2Li2NiO4,2.7663,0.090836958,1.879434438,2.634122012,0.754687574,0
mp-753864,Sr2Li2Nb4O13,1.4248,0.027410544,1.675705786,3.570856985,1.895151199,0
mp-756684,Sr2Li2Nb3O10,0.0,0.006927576,1.270510916,1.675705786,0.40519487,0
mp-866669,Sr17(Li2Hg3)3,0.0,0.0,0.005122867,0.093017681,0.087894814,0
mp-1218941,Sr10Li24NiN15,0.0,0.002369021,0.376700027,0.40118794,0.024487913,0
mp-570097,Sr(Li2P)2,0.9759,0.0,0.005122867,0.86493144,0.859808573,0
mp-1206759,LiZrS2,0.0,0.0,1.128969384,1.15041499,0.021445606,0
mp-753649,LiZrPCO7,4.1552,0.052768542,2.768170736,4.095292538,1.327121802,0
mp-755253,LiZrO2,0.0,0.055770418,0.349762784,0.591192609,0.241429824,0
